INFO 2022-07-16 15:27:08,874 autoreload 20048 1164 Watching for file changes with StatReloader
DEBUG 2022-07-16 15:27:08,881 autoreload 20048 1164 Waiting for apps ready_event.
DEBUG 2022-07-16 15:27:08,886 autoreload 20048 1164 Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2022-07-16 15:27:09,194 autoreload 20048 1164 Watching dir E:\log_management\logs_django\lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2022-07-16 15:27:09,195 autoreload 20048 1164 Watching dir E:\log_management\backend\locale with glob **/*.mo.
DEBUG 2022-07-16 15:27:09,195 autoreload 20048 1164 Watching dir E:\log_management\logs_django\lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2022-07-16 15:27:09,196 autoreload 20048 1164 Watching dir E:\log_management\backend\users\locale with glob **/*.mo.
DEBUG 2022-07-16 15:27:09,199 autoreload 20048 1164 Watching dir E:\log_management\backend\logs\locale with glob **/*.mo.
DEBUG 2022-07-16 15:27:09,355 utils 20048 19676 (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2022-07-16 15:27:09,365 utils 20048 19676 (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2022-07-16 15:27:09,539 autoreload 20048 1164 File C:\Users\shaik\AppData\Local\Programs\Python\Python38\DLLs\_socket.pyd first seen with mtime 1620023086.0
DEBUG 2022-07-16 15:27:09,539 autoreload 20048 1164 File E:\log_management\logs_django\Lib\site-packages\django\contrib\admin\templatetags\log.py first seen with mtime 1657824436.7829554
DEBUG 2022-07-16 15:27:09,539 autoreload 20048 1164 File C:\Users\shaik\AppData\Local\Programs\Python\Python38\Lib\inspect.py first seen with mtime 1620023042.0
DEBUG 2022-07-16 15:27:09,540 autoreload 20048 1164 File E:\log_management\logs_django\Lib\site-packages\sqlparse\utils.py first seen with mtime 1657824434.2054403
DEBUG 2022-07-16 15:27:09,540 autoreload 20048 1164 File E:\log_management\logs_django\Lib\site-packages\rest_framework\utils\json.py first seen with mtime 1657827960.827765
DEBUG 2022-07-16 15:27:09,540 autoreload 20048 1164 File E:\log_management\logs_django\Lib\site-packages\sqlparse\sql.py first seen with mtime 1657824434.2054403
DEBUG 2022-07-16 15:27:09,541 autoreload 20048 1164 File C:\Users\shaik\AppData\Local\Programs\Python\Python38\Lib\unittest\loader.py first seen with mtime 1620023044.0
DEBUG 2022-07-16 15:27:09,541 autoreload 20048 1164 File E:\log_management\logs_django\Lib\site-packages\asgiref\sync.py first seen with mtime 1657824435.377664
DEBUG 2022-07-16 15:27:09,544 autoreload 20048 1164 File E:\log_management\logs_django\Lib\site-packages\django\template\loaders\__init__.py first seen with mtime 1657824442.0160897
DEBUG 2022-07-16 15:27:09,544 autoreload 20048 1164 File C:\Users\shaik\AppData\Local\Programs\Python\Python38\Lib\xml\dom\minidom.py first seen with mtime 1620023044.0
DEBUG 2022-07-16 15:27:09,546 autoreload 20048 1164 File C:\Users\shaik\AppData\Local\Programs\Python\Python38\Lib\email\parser.py first seen with mtime 1620023042.0
DEBUG 2022-07-16 15:27:09,547 autoreload 20048 1164 File C:\Users\shaik\AppData\Local\Programs\Python\Python38\Lib\unittest\runner.py first seen with mtime 1620023044.0
DEBUG 2022-07-16 15:27:09,547 autoreload 20048 1164 File C:\Users\shaik\AppData\Local\Programs\Python\Python38\Lib\asyncio\queues.py first seen with mtime 1620023042.0
DEBUG 2022-07-16 15:27:09,547 autoreload 20048 1164 File E:\log_management\logs_django\Lib\site-packages\django\db\__init__.py first seen with mtime 1657824441.8286347
DEBUG 2022-07-16 15:27:09,547 autoreload 20048 1164 File E:\log_management\logs_django\Lib\site-packages\django\templatetags\cache.py first seen with mtime 1657824442.0160897
DEBUG 2022-07-16 15:27:09,548 autoreload 20048 1164 File E:\log_management\logs_django\Lib\site-packages\django\apps\config.py first seen with mtime 1657824436.0331342
DEBUG 2022-07-16 15:27:09,548 autoreload 20048 1164 File E:\log_management\logs_django\Lib\site-packages\django\utils\datastructures.py first seen with mtime 1657824442.0317118
DEBUG 2022-07-16 15:27:09,548 autoreload 20048 1164 File E:\log_management\logs_django\Lib\site-packages\django\template\backends\__init__.py first seen with mtime 1657824442.0160897
DEBUG 2022-07-16 15:27:09,549 autoreload 20048 1164 File C:\Users\shaik\AppData\Local\Programs\Python\Python38\Lib\html\__init__.py first seen with mtime 1620023042.0
DEBUG 2022-07-16 15:27:09,549 autoreload 20048 1164 File C:\Users\shaik\AppData\Local\Programs\Python\Python38\Lib\bisect.py first seen with mtime 1620023042.0
DEBUG 2022-07-16 15:27:09,549 autoreload 20048 1164 File E:\log_management\logs_django\Lib\site-packages\django\db\utils.py first seen with mtime 1657824441.8286347
DEBUG 2022-07-16 15:27:09,550 autoreload 20048 1164 File E:\log_management\logs_django\Lib\site-packages\django\contrib\admin\views\autocomplete.py first seen with mtime 1657824436.7829554
